genre_id,genre_name,books_count
1,Бизнес-книги,270
2,Банковское-дело,69
3,Бухучет-налогообложение-аудит,12
5,Делопроизводство,15
6,Зарубежная-деловая-литература,3
7,Интернет-бизнес,64
8,Кадровый-менеджмент,37
12,Коучинг,53
13,Мотивация,192
16,Управление-персоналом,149
17,Корпоративная-культура,25
18,Личная-эффективность,219
19,Личные-финансы,55
22,Маркетинг-pr-реклама,246
23,Pr,59
25,Брендинг,36
27,Интернет-маркетинг,7
35,Отношения-с-клиентами,20
38,Реклама,33
43,Менеджмент,425
44,Mba,4
46,Бизнес-процессы,70
49,Лидерство,122
52,Стратегический-менеджмент,18
53,Управление-бизнесом,151
54,Управление-качеством,17
56,Финансовый-менеджмент,12
59,Недвижимость,5
60,О-бизнесе-популярно,189
65,Истории-успеха,149
67,Креатив-идеи,21
72,Российская-практика,13
74,Советы-от-гуру,9
75,Эффективность-бизнеса,8
76,Ораторское-искусство-риторика,56
77,Отраслевые-издания,9
78,Переговоры,61
79,Поиск-работы-карьера,53
81,Продажи,47
83,Техника-продаж,46
85,Успешные-переговоры,9
87,Эффективная-презентация,7
89,Стартапы-и-создание-бизнеса,19
90,Тайм-менеджмент,37
91,Финансы,23
99,Трейдинг,27
101,Ценные-бумаги-инвестиции,75
102,Экономика,159
104,История-экономики,40
107,Макроэкономика,7
110,Общая-экономическая-теория,18
116,Экономическая-статистика,7
117,Экономический-анализ,5
119,Боевики-остросюжетная-литература,105
120,Боевая-фантастика,823
121,Боевики,39
122,Вестерны,10
123,Зарубежные-боевики,2
124,Криминальные-боевики,14
125,Триллеры,1312
126,Детективы,462
127,Зарубежные-детективы,2622
128,Иронические-детективы,270
129,Исторические-детективы,298
130,Классические-детективы,796
131,Крутой-детектив,31
132,Политические-детективы,28
133,Полицейские-детективы,266
134,Современные-детективы,851
136,Шпионские-детективы,57
137,Детские-книги,1180
140,Детская-познавательная-и-развивающая-литература,421
141,Детская-проза,952
142,Детская-фантастика,793
143,Детские-детективы,519
144,Детские-приключения,489
145,Детские-стихи,87
146,Зарубежные-детские-книги,1888
148,Книги-для-дошкольников,118
149,Книги-для-подростков,2562
150,Сказки,979
151,Прочая-учебная-литература,31
152,Школьные-учебники,23
355,Школьные-методические-пособия,75
357,Школьные-учебники-по-английскому-языку,3
364,Школьные-учебники-по-истории,4
377,Школьные-учебники-по-русскому-языку,10
382,Школьные-учебники-по-химии,1
387,Дом-семья-хобби-и-досуг,99
389,Воспитание-детей,397
390,Домашние-животные,84
391,Зарубежная-прикладная-литература,34
392,Изобразительное-искусство,172
393,Интерьеры,9
394,Искусство-фотографии,100
395,Кулинария,182
396,Мода-и-стиль,127
397,Отдых-туризм,16
398,Охота,3
400,Природа-и-животные,70
401,Развлечения,44
402,Рукоделие-ремесла,18
404,Сад-и-огород,8
405,Самосовершенствование,506
406,Сделай-сам,21
407,Спорт-фитнес,130
408,Хобби-увлечения,42
409,Зарубежная-литература,960
412,Зарубежная-классика,4017
414,Зарубежная-литература-о-культуре-и-искусстве,63
415,Зарубежная-образовательная-литература,17
416,Зарубежная-поэзия,177
418,Зарубежная-психология,27
419,Зарубежная-публицистика,39
420,Зарубежная-религиозная-и-эзотерическая-литература,3
423,Зарубежная-старинная-литература,7
424,Зарубежная-фантастика,2385
426,Зарубежное-фэнтези,2997
430,Зарубежные-любовные-романы,2038
431,Зарубежные-приключения,63
432,Зарубежный-юмор,15
433,Современная-зарубежная-литература,6465
434,Классическая-литература,387
435,Античная-литература,53
436,Древневосточная-литература,9
437,Древнерусская-литература,7
438,Европейская-старинная-литература,24
441,Классическая-проза,2069
442,Литература-18-века,35
443,Литература-19-века,438
444,Литература-20-века,1484
445,Мифы-легенды-эпос,181
446,Русская-классика,1500
447,Советская-литература,354
448,Старинная-литература,19
449,Фольклор,83
451,Книги-на-английском,50
459,Книги-по-психологии,533
460,Возрастная-психология,17
461,Детская-психология,79
463,История-психологии,5
464,Классики-психологии,302
465,Общая-психология,439
466,Основы-психологии,79
467,Отраслевая-психология,65
468,Практическая-психология,688
471,Психоанализ,99
472,Психологическая-консультация,10
473,Психологическая-практика,15
475,Психотерапия,126
477,Прикладная-психология,9
478,Нейропсихология,48
479,О-психологии-популярно,928
483,Психология-управления,109
485,Саморазвитие-личностный-рост,516
486,Семья-брак-сексология,111
488,Социальная-психология,103
489,Соционика,7
490,Компьютерная-литература,51
491,Базы-данных,10
493,Интернет,34
497,Ос-и-сети,53
498,Программирование,143
499,Программы,36
500,Красота-и-здоровье,45
502,Здоровое-и-правильное-питание,47
503,Здоровье,178
504,Косметика-и-косметология,14
505,Народная-и-нетрадиционная-медицина,107
507,Похудение-и-диеты,67
510,Культура-и-искусство,154
511,Архитектура,85
512,Дизайн,76
516,Искусствоведение,410
517,История-искусств,81
518,Кинематограф-театр,218
519,Критика,168
520,Музеи-и-коллекции,24
521,Музыка,153
523,Опера-балет,15
525,Телевидение,83
527,Любовные-романы,348
529,Исторические-любовные-романы,335
530,Короткие-любовные-романы,47
531,Любовно-фантастические-романы,148
532,Остросюжетные-любовные-романы,106
533,Современные-любовные-романы,1220
534,Эротические-романы,166
535,Наука-и-образование,3
536,Военное-дело,9
537,Гуманитарные-и-общественные-науки,314
538,Иностранные-языки,35
539,Английский-язык,57
541,Испанский-язык,7
542,Итальянский-язык,1
543,Немецкий-язык,11
545,Русский-язык-как-иностранный,15
546,Французский-язык,6
547,История,701
548,Археология,11
549,Всемирная-история,325
550,История-древнего-мира,76
551,История-россии,333
552,История-средних-веков,66
553,Источниковедение,13
554,Новейшая-история,18
555,Новое-время,9
556,Общая-история,11
559,Этнография,113
591,Культура-и-просвещение,6
593,Библиография,11
594,Издательское-дело,16
595,Музейное-дело,5
597,Сми,28
599,Физкультура-и-спорт,43
600,Культурология,421
601,Педагогика,112
602,Политика,188
609,Политология,161
611,Социология,228
612,Филология,8
613,Литературоведение,327
615,Языкознание,114
616,Философия,675
617,История-философии,48
618,Книги-по-философии,217
619,Логика,15
621,Социальная-философия,21
622,Эстетика,11
623,Этика,24
641,Юридическая-литература,9
642,Адвокатура,13
670,История-права,29
673,Криминалистика,21
674,Криминология,50
689,Уголовное-право,3
691,Юриспруденция,58
692,Естественные-науки,51
693,Астрономия,101
694,Биология,99
695,Анатомия-и-физиология,68
696,Антропология,69
698,Ботаника,10
699,Вирусология,18
700,Генетика,19
701,Зоология,42
703,Нейробиология,34
704,Общая-биология,54
705,Палеонтология,8
706,Естествознание,24
707,Математика,80
708,Механика,4
709,Науки-о-земле,3
710,География,39
712,Геология,6
713,Физика,184
714,Химия,23
723,Экология,23
726,Медицина-здравоохранение,91
727,Акушерство-и-гинекология,16
732,Гастроэнтерология,5
736,Дерматология,8
737,Кардиология,9
738,Клиническая-медицина,12
739,Медицина,171
741,Наркология,10
742,Неврология,11
746,Ортопедия-и-травматология,6
747,Офтальмология,4
749,Педиатрия-и-неонатология,10
750,Прикладные-отрасли-медицины,4
751,Психиатрия,68
753,Стоматология,3
757,Фармакология,8
760,Хирургия,6
761,Эндокринология,5
764,Монографии,9
765,Научно-популярная-литература,781
766,Научные-труды,9
771,Прочая-образовательная-литература,26
774,Ветеринария,4
780,Технические-науки,8
784,Информатика-и-вычислительная-техника,15
815,Радиоэлектроника,5
824,Строительство,6
825,Архитектурные-конструкции,4
833,Техническая-литература,49
838,Транспорт,4
839,Автотранспорт,5
840,Водный-транспорт,2
841,Воздушный-транспорт,7
1095,Периодические-издания,14
1098,Журналы,4
1109,Медицинские-журналы,10
1120,Повести-рассказы,75
1121,Комиксы-манга-графические-романы,1992
1123,Очерки,19
1124,Повести,128
1125,Рассказы,476
1126,Фанфик,8
1127,Эссе,157
1128,Поэзия-и-драматургия,63
1129,Поэзия,525
1130,Зарубежная-драматургия,298
1132,Драматургия,83
1133,Приключения,632
1136,Исторические-приключения,1073
1137,Книги-о-приключениях,56
1138,Книги-о-путешествиях,344
1139,Морские-приключения,108
1140,Публицистическая-литература,86
1141,Афоризмы-и-цитаты,37
1142,Биографии-и-мемуары,2774
1143,Военное-дело-спецслужбы,245
1144,Документальная-литература,257
1146,Интервью,10
1147,Публицистика,357
1149,Статьи,47
1150,Религия,79
1151,Буддизм,62
1152,Вероучения-в-буддизме,7
1153,Дзэн-буддизм,31
1155,Духовная-литература,17
1157,Ислам,9
1159,Коран,4
1163,Иудаизм,5
1164,Католицизм,16
1165,Православие,164
1167,Богословие,20
1169,Житийная-литература,36
1170,История-церкви,14
1172,Паломничество,4
1173,Православие-для-детей,17
1179,Священное-писание,28
1181,Религии-верования-культы,70
1182,Религиоведение-история-религий,130
1183,Религиозные-тексты,23
1185,Христианство,44
1186,Словари-справочники,8
1188,Путеводители,130
1189,Руководства,74
1190,Самоучители,31
1191,Словари,10
1192,Другие-словари,1
1196,Разговорники,9
1203,Справочная-литература,3
1204,Справочники,8
1216,Энциклопедии,99
1217,Современная-проза,2751
1218,Историческая-проза,435
1219,Книги-о-войне,293
1220,Контркультура,76
1222,Современная-русская-литература,1920
1223,Ужасы-мистика,1391
1224,Мистика,651
1225,Ужасы,289
1226,Фантастика,534
1228,Героическая-фантастика,206
1229,Детективная-фантастика,114
1231,Историческая-фантастика,120
1232,Киберпанк,118
1233,Космическая-фантастика,377
1235,Научная-фантастика,776
1236,Попаданцы,175
1237,Социальная-фантастика,276
1238,Стимпанк,56
1239,Юмористическая-фантастика,82
1240,Фэнтези,1011
1241,Боевое-фэнтези,238
1242,Героическое-фэнтези,635
1243,Городское-фэнтези,481
1244,Детективное-фэнтези,143
1246,Историческое-фэнтези,133
1247,Книги-про-вампиров,306
1248,Книги-про-волшебников,248
1249,Романтическое-фэнтези,1371
1251,Отечественное-фэнтези,2766
1252,Фэнтези-про-драконов,97
1253,Эротическое-фэнтези,21
1254,Юмористическое-фэнтези,367
1255,Эзотерика,526
1256,Астрология,19
1257,Гадание-толкование-снов,52
1259,Йога,108
1260,Магия-колдовство,47
1261,Парапсихология,16
1262,Практическая-эзотерика,137
1263,Современные-религиозные-течения,32
1264,Спиритизм-пророчества-и-предсказания,49
1265,Таинственные-явления,29
1266,Тайные-общества,11
1267,Фэн-шуй,4
1268,Эзотерика-оккультизм,230
1269,Эротика-и-секс,56
1270,Сексуальные-руководства,49
1272,Эротическая-литература,100
1273,Эротические-рассказы-и-истории,9
1276,Юмористическая-литература,82
1277,Анекдоты,28
1279,Юмор-и-сатира,83
1280,Юмористическая-проза,310
1282,Учебная-литература,18
1284,Русская-литература,228
1306,Отечественные-любовные-романы,312
1308,Историческая-отечественная-проза,6
1309,Отечественные-детективы,292
1310,Отечественный-мужской-детектив,177
1311,Отечественный-женский-детектив,431
1312,Современный-отечественный-детектив,115
1313,Классический-отечественный-детектив,28
1314,Отечественная-фантастика,1614
1315,Отечественный-боевик,23
1316,Отечественная-поэзия,270
1317,Отечественная-драматургия,241
1318,Русская-литература-для-детей,891
1319,Сказки-отечественных-писателей,234
1321,Отечественная-поэзия-для-детей,76
1322,Русская-классика-для-детей,110
1323,Отечественные-мемуары,59
1324,Отечественный-юмор-и-сатира,31
1325,Индуизм,11
1326,Исторический-роман,458
1327,Магический-реализм,154
1328,Космонавтика,8
1330,ЛитРПГ,118
1333,Реализм,259
1336,Темное-фэнтези,64
1342,Артбуки,3
1345,Альтернативная-история,6
1352,Мифологическое-фэнтези,7
1360,Антиутопия,6
1363,Манга,28
1366,Манхва,3
1372,Комиксы,5
1375,Графические-романы,2
1381,Маньхуа,2
1384,Психологический-роман,6
1388,Славянское-фэнтези,4
1391,Ориентальное-фэнтези,4
